model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
Pyannote,183,IISc_VaaniProject_S_Bihar_Gaya_69125_10000396_UPVNTHP_214037_163_10952,0.9397031539888683,1.0,0.9689143950263032,0.9399260628465804,0.057971014492753624,0.06029684601113173,0.0
FunASR,183,IISc_VaaniProject_S_Bihar_Gaya_69125_10000396_UPVNTHP_214037_163_10952,0.9396471680594243,0.9990128331688055,0.968421052631579,0.9388322520852641,0.015151515151515152,0.060352831940575676,0.0009871668311944718
Silero,183,IISc_VaaniProject_S_Bihar_Gaya_69125_10000396_UPVNTHP_214037_163_10952,0.9531548757170172,0.9842053307008884,0.968431277319087,0.9397590361445783,0.25757575757575757,0.04684512428298279,0.01579466929911155
SpeechBrain,183,IISc_VaaniProject_S_Bihar_Gaya_69125_10000396_UPVNTHP_214037_163_10952,0.9453860640301318,0.9911154985192497,0.967710843373494,0.93790546802595,0.12121212121212122,0.054613935969868174,0.008884501480750246
Pyannote,184,IISc_VaaniProject_S_Bihar_Gaya_69440_10175417_BHMQ_155527_0_3711,0.9972144846796658,1.0,0.99860529986053,0.9973190348525469,0.9333333333333333,0.002785515320334262,0.0
FunASR,184,IISc_VaaniProject_S_Bihar_Gaya_69440_10175417_BHMQ_155527_0_3711,0.964769647696477,0.994413407821229,0.9793672627235214,0.9596774193548387,0.07142857142857142,0.03523035230352303,0.00558659217877095
Silero,184,IISc_VaaniProject_S_Bihar_Gaya_69440_10175417_BHMQ_155527_0_3711,0.988950276243094,1.0,0.9944444444444445,0.989247311827957,0.7142857142857143,0.011049723756906077,0.0
SpeechBrain,184,IISc_VaaniProject_S_Bihar_Gaya_69440_10175417_BHMQ_155527_0_3711,1.0,0.9748603351955307,0.9872701555869873,0.9758064516129032,1.0,0.0,0.025139664804469275
Pyannote,185,IISc_VaaniProject_S_Bihar_Gaya_69678_9863994_BHJHARS_115665_11184_18883,0.7685305591677504,0.9949494949494949,0.8672046955245781,0.7658473479948253,0.00558659217877095,0.23146944083224968,0.005050505050505051
FunASR,185,IISc_VaaniProject_S_Bihar_Gaya_69678_9863994_BHJHARS_115665_11184_18883,0.8695014662756598,0.9983164983164983,0.9294670846394985,0.8831168831168831,0.4943181818181818,0.13049853372434017,0.0016835016835016834
Silero,185,IISc_VaaniProject_S_Bihar_Gaya_69678_9863994_BHJHARS_115665_11184_18883,0.9570247933884297,0.9747474747474747,0.9658048373644704,0.9467532467532468,0.8522727272727273,0.04297520661157025,0.025252525252525252
SpeechBrain,185,IISc_VaaniProject_S_Bihar_Gaya_69678_9863994_BHJHARS_115665_11184_18883,1.0,0.9528619528619529,0.9758620689655172,0.9636363636363636,1.0,0.0,0.04713804713804714
Pyannote,186,IISc_VaaniProject_S_Bihar_Gaya_69678_9864596_BHJHGOB_115810_8_13236,0.6923664122137405,0.9977997799779978,0.8174853537629563,0.6943396226415094,0.03125,0.30763358778625954,0.0022002200220022
FunASR,186,IISc_VaaniProject_S_Bihar_Gaya_69678_9864596_BHJHGOB_115810_8_13236,0.7237261146496815,1.0,0.8397228637413395,0.737518910741301,0.15980629539951574,0.2762738853503185,0.0
Silero,186,IISc_VaaniProject_S_Bihar_Gaya_69678_9864596_BHJHGOB_115810_8_13236,0.889990089197225,0.9878987898789879,0.9363920750782064,0.907785336356765,0.7318840579710145,0.11000991080277503,0.0121012101210121
SpeechBrain,186,IISc_VaaniProject_S_Bihar_Gaya_69678_9864596_BHJHGOB_115810_8_13236,0.9929988331388565,0.9361936193619362,0.9637599093997735,0.9514415781487102,0.9853300733496333,0.007001166861143524,0.0638063806380638
Pyannote,187,IISc_VaaniProject_S_Bihar_Jahanabad_139058_13002921_GY_110105_0_4446,0.997737556561086,1.0,0.9988674971687429,0.9977578475336323,0.8,0.0022624434389140274,0.0
FunASR,187,IISc_VaaniProject_S_Bihar_Jahanabad_139058_13002921_GY_110105_0_4446,0.9932126696832579,0.9954648526077098,0.9943374858437146,0.9887640449438202,0.25,0.006787330316742082,0.0045351473922902496
Silero,187,IISc_VaaniProject_S_Bihar_Jahanabad_139058_13002921_GY_110105_0_4446,0.9932432432432432,1.0,0.9966101694915255,0.9932584269662922,0.25,0.006756756756756757,0.0
SpeechBrain,187,IISc_VaaniProject_S_Bihar_Jahanabad_139058_13002921_GY_110105_0_4446,1.0,0.9841269841269841,0.992,0.9842696629213483,1.0,0.0,0.015873015873015872
Pyannote,188,IISc_VaaniProject_S_Bihar_Jahanabad_140951_13041966_BHOTHER_305315_5797_11282,0.9284403669724771,1.0,0.9628924833491912,0.9289617486338798,0.09302325581395349,0.07155963302752294,0.0
FunASR,188,IISc_VaaniProject_S_Bihar_Jahanabad_140951_13041966_BHOTHER_305315_5797_11282,0.9250457038391224,1.0,0.9610636277302944,0.9251824817518248,0.023809523809523808,0.07495429616087751,0.0
Silero,188,IISc_VaaniProject_S_Bihar_Jahanabad_140951_13041966_BHOTHER_305315_5797_11282,0.9524714828897338,0.9901185770750988,0.9709302325581395,0.9453551912568307,0.4186046511627907,0.04752851711026616,0.009881422924901186
SpeechBrain,188,IISc_VaaniProject_S_Bihar_Jahanabad_140951_13041966_BHOTHER_305315_5797_11282,1.0,0.9268774703557312,0.9620512820512821,0.9316081330868762,1.0,0.0,0.07312252964426877
Pyannote,189,IISc_VaaniProject_S_Bihar_Jahanabad_140951_13048221_BHOTHER_305296_5385_8393,0.83,0.9920318725099602,0.9038112522686026,0.8256578947368421,0.03773584905660377,0.17,0.00796812749003984
FunASR,189,IISc_VaaniProject_S_Bihar_Jahanabad_140951_13048221_BHOTHER_305296_5385_8393,0.8361204013377926,0.9960159362549801,0.9090909090909091,0.8338870431893688,0.02,0.16387959866220736,0.00398406374501992
Silero,189,IISc_VaaniProject_S_Bihar_Jahanabad_140951_13048221_BHOTHER_305296_5385_8393,0.8978102189781022,0.9800796812749004,0.9371428571428572,0.8903654485049833,0.44,0.10218978102189781,0.0199203187250996
SpeechBrain,189,IISc_VaaniProject_S_Bihar_Jahanabad_140951_13048221_BHOTHER_305296_5385_8393,1.0,0.9322709163346613,0.9649484536082474,0.9435215946843853,1.0,0.0,0.06772908366533864
Pyannote,190,IISc_VaaniProject_S_Bihar_Jahanabad_69841_9815934_CGBMEX_346505_5_7295,0.986046511627907,0.99375,0.9898832684824903,0.9822646657571623,0.9032258064516129,0.013953488372093023,0.00625
FunASR,190,IISc_VaaniProject_S_Bihar_Jahanabad_69841_9815934_CGBMEX_346505_5_7295,0.8774104683195593,0.9953125,0.9326500732064422,0.873972602739726,0.011111111111111112,0.12258953168044077,0.0046875
Silero,190,IISc_VaaniProject_S_Bihar_Jahanabad_69841_9815934_CGBMEX_346505_5_7295,0.9453471196454948,1.0,0.9719058466211086,0.9493150684931507,0.5888888888888889,0.05465288035450517,0.0
SpeechBrain,190,IISc_VaaniProject_S_Bihar_Jahanabad_69841_9815934_CGBMEX_346505_5_7295,1.0,0.975,0.9873417721518988,0.9780821917808219,1.0,0.0,0.025
Pyannote,191,IISc_VaaniProject_S_Bihar_Jahanabad_70279_9842295_BHJHFT_319773_7667_13221,0.9945155393053017,0.9908925318761385,0.9927007299270073,0.9856887298747764,0.7,0.005484460694698354,0.009107468123861567
FunASR,191,IISc_VaaniProject_S_Bihar_Jahanabad_70279_9842295_BHJHFT_319773_7667_13221,0.9891500904159132,0.9963570127504554,0.9927404718693285,0.9856115107913669,0.14285714285714285,0.0108499095840868,0.0036429872495446266
Silero,191,IISc_VaaniProject_S_Bihar_Jahanabad_70279_9842295_BHJHFT_319773_7667_13221,0.9945652173913043,1.0,0.997275204359673,0.9946043165467626,0.5714285714285714,0.005434782608695652,0.0
SpeechBrain,191,IISc_VaaniProject_S_Bihar_Jahanabad_70279_9842295_BHJHFT_319773_7667_13221,1.0,0.9253187613843351,0.9612109744560076,0.9262589928057554,1.0,0.0,0.07468123861566485
Pyannote,192,IISc_VaaniProject_S_Bihar_Jamui_82347_10398046_BHJMDA_147546_498_9631,0.9069003285870756,0.9987937273823885,0.9506314580941446,0.906215921483097,0.03409090909090909,0.09309967141292443,0.0012062726176115801
FunASR,192,IISc_VaaniProject_S_Bihar_Jamui_82347_10398046_BHJMDA_147546_498_9631,0.9076923076923077,0.9963811821471653,0.9499712478435882,0.9048140043763676,0.011764705882352941,0.09230769230769231,0.0036188178528347406
Silero,192,IISc_VaaniProject_S_Bihar_Jamui_82347_10398046_BHJMDA_147546_498_9631,0.9717314487632509,0.9951749095295537,0.9833134684147795,0.9693654266958425,0.7176470588235294,0.028268551236749116,0.0048250904704463205
SpeechBrain,192,IISc_VaaniProject_S_Bihar_Jamui_82347_10398046_BHJMDA_147546_498_9631,1.0,0.9722557297949337,0.9859327217125382,0.9748358862144421,1.0,0.0,0.027744270205066344
Pyannote,193,IISc_VaaniProject_S_Bihar_Kishanganj_135145_12785857_BHVSAUR_228366_0_7825,0.8987179487179487,1.0,0.9466576637407157,0.8993630573248408,0.05952380952380952,0.10128205128205128,0.0
FunASR,193,IISc_VaaniProject_S_Bihar_Kishanganj_135145_12785857_BHVSAUR_228366_0_7825,0.8962868117797695,0.9985734664764622,0.9446693657219973,0.8952745849297573,0.012195121951219513,0.10371318822023047,0.0014265335235378032
